Table 1
Company,Year,ex_rate,,
Master Drilling Group Ltd,2015,15.53,,
Master Drilling Group Ltd,2016,13.66,,
Master Drilling Group Ltd,2017,12.36,,
Master Drilling Group Ltd,2018,14.39,,
Mauritius Chemical & Fertilizer Industry,2014,31.75,,
Mauritius Chemical & Fertilizer Industry,2015,35.87,,
Mauritius Chemical & Fertilizer Industry,2016,36,,
Mauritius Chemical & Fertilizer Industry,2017,33.4,,
Mauritius Chemical & Fertilizer Industry,2018,33.93,,
Mazor Group Limited,2014,11.56,,
Mazor Group Limited,2015,15.53,,
Mazor Group Limited,2016,13.66,,
Mazor Group Limited,2017,12.36,,
Mazor Group Limited,2018,14.39,,
MCNICHOLS PLC,2014,183.21,,
MCNICHOLS PLC,2015,199.09,,
MCNICHOLS PLC,2016,304.23,,
MCNICHOLS PLC,2017,384.96,,
MCNICHOLS PLC,2018,363,,
Merafe Resources Limited,2014,11.56,,
Merafe Resources Limited,2015,15.53,,
Merafe Resources Limited,2016,13.66,,
Merafe Resources Limited,2017,12.36,,
Merafe Resources Limited,2018,14.39,,
Metair Investments Limited,2014,11.56,,
Metair Investments Limited,2015,15.53,,
Metair Investments Limited,2016,13.66,,
Metair Investments Limited,2017,12.36,,
Metair Investments Limited,2018,14.39,,
Metrofile Holdings Limited,2014,11.56,,
Metrofile Holdings Limited,2015,15.53,,
Metrofile Holdings Limited,2016,13.66,,
Metrofile Holdings Limited,2017,12.36,,
Metrofile Holdings Limited,2018,14.39,,
Mine Restoration Investments Ltd,2014,11.56,,
Mine Restoration Investments Ltd,2015,15.53,,
Mine Restoration Investments Ltd,2016,13.66,,
Mine Restoration Investments Ltd,2017,12.36,,
Mine Restoration Investments Ltd,2018,14.39,,
Mix Telematics Limited,2014,11.56,,
Mix Telematics Limited,2015,15.53,,
Mix Telematics Limited,2016,13.66,,
Mix Telematics Limited,2017,12.36,,
Mix Telematics Limited,2018,14.39,,
Mondi Limited,2014,11.56,,
Mondi Limited,2015,15.53,,
Mondi Limited,2016,13.66,,
Mondi Limited,2017,12.36,,
Mondi Limited,2018,14.39,,
Mpact Limited,2014,11.56,,
Mpact Limited,2015,15.53,,
Mpact Limited,2016,13.66,,
Mpact Limited,2017,12.36,,
Mpact Limited,2018,14.39,,
Mr Price Group Limited,2014,11.56,,
Mr Price Group Limited,2015,15.53,,
Mr Price Group Limited,2016,13.66,,
Mr Price Group Limited,2017,12.36,,
Mr Price Group Limited,2018,14.39,,
MRS OIL NIGERIA PLC.,2014,183.21,,
MRS OIL NIGERIA PLC.,2015,199.09,,
MRS OIL NIGERIA PLC.,2016,304.23,,
MRS OIL NIGERIA PLC.,2017,384.96,,
MRS OIL NIGERIA PLC.,2018,363,,
MTN Ghana,2014,3.21,,
MTN Ghana,2015,3.82,,
MTN Ghana,2016,4.26,,
MTN Ghana,2017,4.52,,
MTN Ghana,2018,4.83,,
MTN Group Limited,2014,11.56,,
MTN Group Limited,2015,15.53,,
MTN Group Limited,2016,13.66,,
MTN Group Limited,2017,12.36,,
MTN Group Limited,2018,14.39,,
MULTIVERSE MINING AND EXPLORATION PLC,2014,183.21,,
MULTIVERSE MINING AND EXPLORATION PLC,2015,199.09,,
MULTIVERSE MINING AND EXPLORATION PLC,2016,304.23,,
MULTIVERSE MINING AND EXPLORATION PLC,2017,384.96,,
MULTIVERSE MINING AND EXPLORATION PLC,2018,363,,
Mumias Sugar Co,2014,90.62,,
Mumias Sugar Co,2015,102.32,,
Mumias Sugar Co,2016,102.31,,
Mumias Sugar Co,2017,103.08,,
Mumias Sugar Co,2018,101.66,,
Murray & Roberts Holdings Limited,2014,11.56,,
Murray & Roberts Holdings Limited,2015,15.53,,
Murray & Roberts Holdings Limited,2016,13.66,,
Murray & Roberts Holdings Limited,2017,12.36,,
Murray & Roberts Holdings Limited,2018,14.39,,
Mustek Limited,2014,11.56,,
Mustek Limited,2015,15.53,,
Mustek Limited,2016,13.66,,
Mustek Limited,2017,12.36,,
Mustek Limited,2018,14.39,,
Nampak Limited,2014,11.56,,
Nampak Limited,2015,15.53,,
Nampak Limited,2016,13.66,,
Nampak Limited,2017,12.36,,
Nampak Limited,2018,14.39,,
Naspers Limited,2014,1,,
Naspers Limited,2015,1,,
Naspers Limited,2016,1,,
Naspers Limited,2017,1,,
Naspers Limited,2018,1,,
Nation Media Group,2014,90.62,,
Nation Media Group,2015,102.32,,
Nation Media Group,2016,102.31,,
Nation Media Group,2017,103.08,,
Nation Media Group,2018,101.66,,
NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,2014,183.21,,
NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,2015,199.09,,
NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,2016,304.23,,
NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,2017,384.96,,
NEIMETH INTERNATIONAL PHARMACEUTICALS PLC,2018,363,,
NESTLE NIGERIA PLC.,2014,183.21,,
NESTLE NIGERIA PLC.,2015,199.09,,
NESTLE NIGERIA PLC.,2016,304.23,,
NESTLE NIGERIA PLC.,2017,384.96,,
NESTLE NIGERIA PLC.,2018,363,,
Net 1 UEPS Technologies Inc,2014,1,,
Net 1 UEPS Technologies Inc,2015,1,,
Net 1 UEPS Technologies Inc,2016,1,,
Net 1 UEPS Technologies Inc,2017,1,,
Net 1 UEPS Technologies Inc,2018,1,,
Netcare Limited,2014,11.56,,
Netcare Limited,2015,15.53,,
Netcare Limited,2016,13.66,,
Netcare Limited,2017,12.36,,
Netcare Limited,2018,14.39,,
New Mauritius Hotels,2014,31.75,,
New Mauritius Hotels,2015,35.87,,
New Mauritius Hotels,2016,36,,
New Mauritius Hotels,2017,33.4,,
New Mauritius Hotels,2018,33.93,,
NIGERIAN BREW. PLC.,2014,183.21,,
NIGERIAN BREW. PLC.,2015,199.09,,
NIGERIAN BREW. PLC.,2016,304.23,,
NIGERIAN BREW. PLC.,2017,384.96,,
NIGERIAN BREW. PLC.,2018,363,,
Northam Platinum Limited,2014,11.56,,
Northam Platinum Limited,2015,15.53,,
Northam Platinum Limited,2016,13.66,,
Northam Platinum Limited,2017,12.36,,
Northam Platinum Limited,2018,14.39,,
Nutritional Holdings Limited,2014,11.56,,
Nutritional Holdings Limited,2015,15.53,,
Nutritional Holdings Limited,2016,13.66,,
Nutritional Holdings Limited,2017,12.36,,
Nutritional Holdings Limited,2018,14.39,,
Nu-World Holdings Limited,2014,11.56,,
Nu-World Holdings Limited,2015,15.53,,
Nu-World Holdings Limited,2016,13.66,,
Nu-World Holdings Limited,2017,12.36,,
Nu-World Holdings Limited,2018,14.39,,
OANDO PLC,2014,11.56,,
OANDO PLC,2015,15.53,,
OANDO PLC,2016,13.66,,
OANDO PLC,2017,12.36,,
OANDO PLC,2018,14.39,,
Oceana Group Limited,2014,11.56,,
Oceana Group Limited,2015,15.53,,
Oceana Group Limited,2016,13.66,,
Oceana Group Limited,2017,12.36,,
Oceana Group Limited,2018,14.39,,
OKOMU OIL PALM PLC.,2014,183.21,,
OKOMU OIL PALM PLC.,2015,199.09,,
OKOMU OIL PALM PLC.,2016,304.23,,
OKOMU OIL PALM PLC.,2017,384.96,,
OKOMU OIL PALM PLC.,2018,363,,
Olympia Capital Holdings,2014,90.62,,
Olympia Capital Holdings,2015,102.32,,
Olympia Capital Holdings,2016,102.31,,
Olympia Capital Holdings,2017,103.08,,
Olympia Capital Holdings,2018,101.66,,
Omnia Holdings Limited,2014,11.56,,
Omnia Holdings Limited,2015,15.53,,
Omnia Holdings Limited,2016,13.66,,
Omnia Holdings Limited,2017,12.36,,
Omnia Holdings Limited,2018,14.39,,
Omnicane,2014,11.56,,
Omnicane,2015,15.53,,
Omnicane,2016,13.66,,
Omnicane,2017,12.36,,
Omnicane,2018,14.39,,
P Z CUSSONS NIGERIA PLC.,2014,183.21,,
P Z CUSSONS NIGERIA PLC.,2015,199.09,,
P Z CUSSONS NIGERIA PLC.,2016,304.23,,
P Z CUSSONS NIGERIA PLC.,2017,384.96,,
P Z CUSSONS NIGERIA PLC.,2018,363,,
Pan African Resources Plc,2014,11.56,,
Pan African Resources Plc,2015,15.53,,
Pan African Resources Plc,2016,13.66,,
Pan African Resources Plc,2017,12.36,,
Pan African Resources Plc,2018,14.39,,
PHARMA-DEKO PLC.,2014,183.21,,
PHARMA-DEKO PLC.,2015,199.09,,
PHARMA-DEKO PLC.,2016,304.23,,
PHARMA-DEKO PLC.,2017,384.96,,
PHARMA-DEKO PLC.,2018,363,,
Phoenix Beverages,2014,31.75,,
Phoenix Beverages,2015,35.87,,
Phoenix Beverages,2016,36,,
Phoenix Beverages,2017,33.4,,
Phoenix Beverages,2018,33.93,,
Phumelela Gaming & Leisure Limited,2014,11.56,,
Phumelela Gaming & Leisure Limited,2015,15.53,,
Phumelela Gaming & Leisure Limited,2016,13.66,,
Phumelela Gaming & Leisure Limited,2017,12.36,,
Phumelela Gaming & Leisure Limited,2018,14.39,,
Pick N Pay Holdings Limited,2014,11.56,,
Pick N Pay Holdings Limited,2015,15.53,,
Pick N Pay Holdings Limited,2016,13.66,,
Pick N Pay Holdings Limited,2017,12.36,,
Pick N Pay Holdings Limited,2018,14.39,,
Pioneer Food Group Limited,2014,11.56,,
Pioneer Food Group Limited,2015,15.53,,
Pioneer Food Group Limited,2016,13.66,,
Pioneer Food Group Limited,2017,12.36,,
Pioneer Food Group Limited,2018,14.39,,
PORTLAND PAINTS & PRODUCTS NIGERIA PLC[BLS],2014,183.21,,
PORTLAND PAINTS & PRODUCTS NIGERIA PLC[BLS],2015,199.09,,
PORTLAND PAINTS & PRODUCTS NIGERIA PLC[BLS],2016,304.23,,
PORTLAND PAINTS & PRODUCTS NIGERIA PLC[BLS],2017,384.96,,
PORTLAND PAINTS & PRODUCTS NIGERIA PLC[BLS],2018,363,,
PPC Limited,2014,11.56,,
PPC Limited,2015,15.53,,
PPC Limited,2016,13.66,,
PPC Limited,2017,12.36,,
PPC Limited,2018,14.39,,
PSV Holdings Limited,2014,11.56,,
PSV Holdings Limited,2015,15.53,,
PSV Holdings Limited,2016,13.66,,
PSV Holdings Limited,2017,12.36,,
PSV Holdings Limited,2018,14.39,,
PZ Cussons Ghana Ltd,2014,3.21,,
PZ Cussons Ghana Ltd,2015,3.82,,
PZ Cussons Ghana Ltd,2016,4.26,,
PZ Cussons Ghana Ltd,2017,4.52,,
PZ Cussons Ghana Ltd,2018,4.83,,
Randgold & Exploration Company Ltd,2014,11.56,,
Randgold & Exploration Company Ltd,2015,15.53,,
Randgold & Exploration Company Ltd,2016,13.66,,
Randgold & Exploration Company Ltd,2017,12.36,,
Randgold & Exploration Company Ltd,2018,14.39,,
Raubex Group Limited,2014,11.56,,
Raubex Group Limited,2015,15.53,,
Raubex Group Limited,2016,13.66,,
Raubex Group Limited,2017,12.36,,
Raubex Group Limited,2018,14.39,,
RCL Foods Limited,2014,11.56,,
RCL Foods Limited,2015,15.53,,
RCL Foods Limited,2016,13.66,,
RCL Foods Limited,2017,12.36,,
RCL Foods Limited,2018,14.39,,
RED STAR EXPRESS PLC,2014,183.21,,
RED STAR EXPRESS PLC,2015,199.09,,
RED STAR EXPRESS PLC,2016,304.23,,
RED STAR EXPRESS PLC,2017,384.96,,
RED STAR EXPRESS PLC,2018,363,,
Resource Generation Limited,2014,11.56,,
Resource Generation Limited,2015,15.53,,
Resource Generation Limited,2016,13.66,,
Resource Generation Limited,2017,12.36,,
Resource Generation Limited,2018,14.39,,
Reunert Limited,2014,11.56,,
Reunert Limited,2015,15.53,,
Reunert Limited,2016,13.66,,
Reunert Limited,2017,12.36,,
Reunert Limited,2018,14.39,,
Rex Trueform Clothing Company Ltd,2014,11.56,,
Rex Trueform Clothing Company Ltd,2015,15.53,,
Rex Trueform Clothing Company Ltd,2016,13.66,,
Rex Trueform Clothing Company Ltd,2017,12.36,,
Rex Trueform Clothing Company Ltd,2018,14.39,,
Rogers & Co,2014,9.52,,
Rogers & Co,2015,11.23,,
Rogers & Co,2016,10.71,,
Rogers & Co,2017,9.87,,
Rogers & Co,2018,10.72,,
Rolfes Holdings Limited,2014,11.56,,
Rolfes Holdings Limited,2015,15.53,,
Rolfes Holdings Limited,2016,13.66,,
Rolfes Holdings Limited,2017,12.36,,
Rolfes Holdings Limited,2018,14.39,,
Royal Bafokeng Platinum Limited,2014,11.56,,
Royal Bafokeng Platinum Limited,2015,15.53,,
Royal Bafokeng Platinum Limited,2016,13.66,,
Royal Bafokeng Platinum Limited,2017,12.36,,
Royal Bafokeng Platinum Limited,2018,14.39,,
Safaricom,2014,90.62,,
Safaricom,2015,102.32,,
Safaricom,2016,102.31,,
Safaricom,2017,103.08,,
Safaricom,2018,101.66,,
Sameer Africa,2014,90.62,,
Sameer Africa,2015,102.32,,
Sameer Africa,2016,102.31,,
Sameer Africa,2017,103.08,,
Sameer Africa,2018,101.66,,
Santova Limited,2014,11.56,,
Santova Limited,2015,15.53,,
Santova Limited,2016,13.66,,
Santova Limited,2017,12.36,,
Santova Limited,2018,14.39,,
Sappi Limited,2014,11.56,,
Sappi Limited,2015,15.53,,
Sappi Limited,2016,13.66,,
Sappi Limited,2017,12.36,,
Sappi Limited,2018,14.39,,
Sasini,2014,90.62,,
Sasini,2015,102.32,,
Sasini,2016,102.31,,
Sasini,2017,103.08,,
Sasini,2018,101.66,,
Sasol Limited,2014,11.56,,
Sasol Limited,2015,15.53,,
Sasol Limited,2016,13.66,,
Sasol Limited,2017,12.36,,
Sasol Limited,2018,14.39,,
Sechaba Brewery Holdings,2014,9.52,,
Sechaba Brewery Holdings,2015,11.23,,
Sechaba Brewery Holdings,2016,10.71,,
Sechaba Brewery Holdings,2017,9.87,,
Sechaba Brewery Holdings,2018,10.72,,
Seed Co International,2014,9.52,,
Seed Co International,2015,11.23,,
Seed Co International,2016,10.71,,
Seed Co International,2017,9.87,,
Seed Co International,2018,10.72,,
Sephaku Holdings Limited,2014,11.56,,
Sephaku Holdings Limited,2015,15.53,,
Sephaku Holdings Limited,2016,13.66,,
Sephaku Holdings Limited,2017,12.36,,
Sephaku Holdings Limited,2018,14.39,,
SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC,2014,183.21,,
SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC,2015,199.09,,
SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC,2016,304.23,,
SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC,2017,384.96,,
SEPLAT PETROLEUM DEVELOPMENT COMPANY PLC,2018,363,,
Shoprite Holdings Limited,2014,11.56,,
Shoprite Holdings Limited,2015,15.53,,
Shoprite Holdings Limited,2016,13.66,,
Shoprite Holdings Limited,2017,12.36,,
Shoprite Holdings Limited,2018,14.39,,
Silverbridge Holdings Limited,2014,11.56,,
Silverbridge Holdings Limited,2015,15.53,,
Silverbridge Holdings Limited,2016,13.66,,
Silverbridge Holdings Limited,2017,12.36,,
Silverbridge Holdings Limited,2018,14.39,,
Spanjaard Limited,2014,11.56,,
Spanjaard Limited,2015,15.53,,
Spanjaard Limited,2016,13.66,,
Spanjaard Limited,2017,12.36,,
Spanjaard Limited,2018,14.39,,
Spur Corporation Limited,2014,11.56,,
Spur Corporation Limited,2015,15.53,,
Spur Corporation Limited,2016,13.66,,
Spur Corporation Limited,2017,12.36,,
Spur Corporation Limited,2018,14.39,,
Standard Group,2014,11.56,,
Standard Group,2015,15.53,,
Standard Group,2016,13.66,,
Standard Group,2017,12.36,,
Standard Group,2018,14.39,,
Stefanutti Stocks Holdings Ltd,2014,11.56,,
Stefanutti Stocks Holdings Ltd,2015,15.53,,
Stefanutti Stocks Holdings Ltd,2016,13.66,,
Stefanutti Stocks Holdings Ltd,2017,12.36,,
Stefanutti Stocks Holdings Ltd,2018,14.39,,
Super Group Limited,2014,183.21,,
Super Group Limited,2015,199.09,,
Super Group Limited,2016,304.23,,
Super Group Limited,2017,384.96,,
Super Group Limited,2018,363,,
Taste Holdings Limited,2014,11.56,,
Taste Holdings Limited,2015,15.53,,
Taste Holdings Limited,2016,13.66,,
Taste Holdings Limited,2017,12.36,,
Taste Holdings Limited,2018,14.39,,
The Bidvest Group Limited,2014,183.21,,
The Bidvest Group Limited,2015,199.09,,
The Bidvest Group Limited,2016,304.23,,
The Bidvest Group Limited,2017,384.96,,
The Bidvest Group Limited,2018,363,,
The SPAR Group Limited,2014,11.56,,
The SPAR Group Limited,2015,15.53,,
The SPAR Group Limited,2016,13.66,,
The SPAR Group Limited,2017,12.36,,
The SPAR Group Limited,2018,14.39,,
Tongaat Hulett Limited,2014,90.62,,
Tongaat Hulett Limited,2015,102.32,,
Tongaat Hulett Limited,2016,102.31,,
Tongaat Hulett Limited,2017,103.08,,
Tongaat Hulett Limited,2018,101.66,,
Total Kenya,2014,90.62,,
Total Kenya,2015,102.32,,
Total Kenya,2016,102.31,,
Total Kenya,2017,103.08,,
Total Kenya,2018,101.66,,
TOTAL NIGERIA PLC.,2014,183.21,,
TOTAL NIGERIA PLC.,2015,199.09,,
TOTAL NIGERIA PLC.,2016,304.23,,
TOTAL NIGERIA PLC.,2017,384.96,,
TOTAL NIGERIA PLC.,2018,363,,
TOURIST COMPANY OF NIGERIA PLC.[DIP],2014,183.21,,
TOURIST COMPANY OF NIGERIA PLC.[DIP],2015,199.09,,
TOURIST COMPANY OF NIGERIA PLC.[DIP],2016,304.23,,
TOURIST COMPANY OF NIGERIA PLC.[DIP],2017,384.96,,
TOURIST COMPANY OF NIGERIA PLC.[DIP],2018,363,,
TPS Eastern Africa,2014,183.21,,
TPS Eastern Africa,2015,199.09,,
TPS Eastern Africa,2016,304.23,,
TPS Eastern Africa,2017,384.96,,
TPS Eastern Africa,2018,363,,
Trans Hex Group Limited,2014,183.21,,
Trans Hex Group Limited,2015,199.09,,
Trans Hex Group Limited,2016,304.23,,
Trans Hex Group Limited,2017,384.96,,
Trans Hex Group Limited,2018,363,,
TransCentury,2014,31.75,,
TransCentury,2015,35.87,,
TransCentury,2016,36,,
TransCentury,2017,33.4,,
TransCentury,2018,33.93,,
Transpaco Limited,2014,183.21,,
Transpaco Limited,2015,199.09,,
Transpaco Limited,2016,304.23,,
Transpaco Limited,2017,384.96,,
Transpaco Limited,2018,363,,
Truworths International Limited,2014,183.21,,
Truworths International Limited,2015,199.09,,
Truworths International Limited,2016,304.23,,
Truworths International Limited,2017,384.96,,
Truworths International Limited,2018,363,,
Tsogo Sun Holdings Limited,2014,31.75,,
Tsogo Sun Holdings Limited,2015,35.87,,
Tsogo Sun Holdings Limited,2016,36,,
Tsogo Sun Holdings Limited,2017,33.4,,
Tsogo Sun Holdings Limited,2018,33.93,,
Tullow Oil Plc,2014,11.56,,
Tullow Oil Plc,2015,15.53,,
Tullow Oil Plc,2016,13.66,,
Tullow Oil Plc,2017,12.36,,
Tullow Oil Plc,2018,14.39,,
Umeme,2014,183.21,,
Umeme,2015,199.09,,
Umeme,2016,304.23,,
Umeme,2017,384.96,,
Umeme,2018,363,,
Unga Group,2014,183.21,,
Unga Group,2015,199.09,,
Unga Group,2016,304.23,,
Unga Group,2017,384.96,,
Unga Group,2018,363,,
UNILEVER NIGERIA PLC.,2014,183.21,,
UNILEVER NIGERIA PLC.,2015,199.09,,
UNILEVER NIGERIA PLC.,2016,304.23,,
UNILEVER NIGERIA PLC.,2017,384.96,,
UNILEVER NIGERIA PLC.,2018,363,,
UNION DICON SALT PLC.[BRS],2014,183.21,,
UNION DICON SALT PLC.[BRS],2015,199.09,,
UNION DICON SALT PLC.[BRS],2016,304.23,,
UNION DICON SALT PLC.[BRS],2017,384.96,,
UNION DICON SALT PLC.[BRS],2018,363,,
Verimark Holdings Limited,2014,183.21,,
Verimark Holdings Limited,2015,199.09,,
Verimark Holdings Limited,2016,304.23,,
Verimark Holdings Limited,2017,384.96,,
Verimark Holdings Limited,2018,363,,
VITAFOAM NIG PLC.,2014,183.21,,
VITAFOAM NIG PLC.,2015,199.09,,
VITAFOAM NIG PLC.,2016,304.23,,
VITAFOAM NIG PLC.,2017,384.96,,
VITAFOAM NIG PLC.,2018,363,,
Vivo Energy Mauritius,2014,31.75,,
Vivo Energy Mauritius,2015,35.87,,
Vivo Energy Mauritius,2016,36,,
Vivo Energy Mauritius,2017,33.4,,
Vivo Energy Mauritius,2018,33.93,,
Vodacom Group Limited,2014,11.56,,
Vodacom Group Limited,2015,15.53,,
Vodacom Group Limited,2016,13.66,,
Vodacom Group Limited,2017,12.36,,
Vodacom Group Limited,2018,14.39,,
Wescoal Holdings Limited,2014,11.56,,
Wescoal Holdings Limited,2015,15.53,,
Wescoal Holdings Limited,2016,13.66,,
Wescoal Holdings Limited,2017,12.36,,
Wescoal Holdings Limited,2018,14.39,,
Wesizwe Platinum Limited,2014,11.56,,
Wesizwe Platinum Limited,2015,15.53,,
Wesizwe Platinum Limited,2016,13.66,,
Wesizwe Platinum Limited,2017,12.36,,
Wesizwe Platinum Limited,2018,14.39,,
Wilderness Holdings Limited,2014,11.56,,
Wilderness Holdings Limited,2015,15.53,,
Wilderness Holdings Limited,2016,13.66,,
Wilderness Holdings Limited,2017,12.36,,
Wilderness Holdings Limited,2018,14.39,,
Wilson Bayly Holmes-Ovcon Limited,2014,11.56,,
Wilson Bayly Holmes-Ovcon Limited,2015,15.53,,
Wilson Bayly Holmes-Ovcon Limited,2016,13.66,,
Wilson Bayly Holmes-Ovcon Limited,2017,12.36,,
Wilson Bayly Holmes-Ovcon Limited,2018,14.39,,
Woolworths Holdings Limited,2014,11.56,,
Woolworths Holdings Limited,2015,15.53,,
Woolworths Holdings Limited,2016,13.66,,
Woolworths Holdings Limited,2017,12.36,,
Woolworths Holdings Limited,2018,14.39,,
Workforce Holdings Limited,2014,11.56,,
Workforce Holdings Limited,2015,15.53,,
Workforce Holdings Limited,2016,13.66,,
Workforce Holdings Limited,2017,12.36,,
Workforce Holdings Limited,2018,14.39,,
York Timber Holdings Limited,2014,11.56,,
York Timber Holdings Limited,2015,15.53,,
York Timber Holdings Limited,2016,13.66,,
York Timber Holdings Limited,2017,12.36,,
York Timber Holdings Limited,2018,14.39,,
